id,volume,reporter,page,type,cluster_id,date_created,date_modified
22664009,34,Neb. Ct. App.,162,2,10830322,2026-03-31 13:08:39.702592,2026-03-31 13:08:39.702603
22664010,34,Neb. Ct. App.,182,2,10830323,2026-03-31 13:08:41.920226,2026-03-31 13:08:41.920236
22664011,2026,Ohio,1090,8,10830327,2026-03-31 13:10:32.580893,2026-03-31 13:10:32.580906
22664012,2026,Ohio,1094,8,10830328,2026-03-31 13:10:33.853217,2026-03-31 13:10:33.853227
22664013,2026,Ohio,1089,8,10830329,2026-03-31 13:10:34.669307,2026-03-31 13:10:34.669328
22664014,2026,Ohio,1118,8,10830330,2026-03-31 13:10:35.446594,2026-03-31 13:10:35.446604
22664015,2026,Ohio,1117,8,10830331,2026-03-31 13:10:36.270724,2026-03-31 13:10:36.270734
22664016,2026,NY Slip Op,50409(U),2,10830435,2026-03-31 15:10:48.226325,2026-03-31 15:10:48.226337
