court_category,year,n
U.S. Supreme Court/Federal Appeals,1985,23637
Federal District/Bankruptcy/Special,1986,10131
State Supreme/Appellate,1986,51820
State Trial/Other,1986,3425
U.S. Supreme Court/Federal Appeals,1986,25182
Federal District/Bankruptcy/Special,1987,10469
State Supreme/Appellate,1987,50746
State Trial/Other,1987,3968
U.S. Supreme Court/Federal Appeals,1987,28514
Federal District/Bankruptcy/Special,1988,10488
State Supreme/Appellate,1988,50565
State Trial/Other,1988,3857
U.S. Supreme Court/Federal Appeals,1988,28879
Federal District/Bankruptcy/Special,1989,10348
State Supreme/Appellate,1989,50693
State Trial/Other,1989,3979
U.S. Supreme Court/Federal Appeals,1989,29936
Federal District/Bankruptcy/Special,1990,10009
State Supreme/Appellate,1990,53937
State Trial/Other,1990,4055
U.S. Supreme Court/Federal Appeals,1990,32044
Federal District/Bankruptcy/Special,1991,10174
State Supreme/Appellate,1991,56102
State Trial/Other,1991,3914
U.S. Supreme Court/Federal Appeals,1991,35321
Federal District/Bankruptcy/Special,1992,10882
State Supreme/Appellate,1992,58753
State Trial/Other,1992,4010
U.S. Supreme Court/Federal Appeals,1992,39656
Federal District/Bankruptcy/Special,1993,10965
State Supreme/Appellate,1993,58200
State Trial/Other,1993,3900
U.S. Supreme Court/Federal Appeals,1993,41888
Federal District/Bankruptcy/Special,1994,10798
State Supreme/Appellate,1994,59047
State Trial/Other,1994,3524
U.S. Supreme Court/Federal Appeals,1994,42215
Federal District/Bankruptcy/Special,1995,11795
State Supreme/Appellate,1995,59482
State Trial/Other,1995,4508
U.S. Supreme Court/Federal Appeals,1995,40662
Federal District/Bankruptcy/Special,1996,11623
State Supreme/Appellate,1996,61292
State Trial/Other,1996,4228
U.S. Supreme Court/Federal Appeals,1996,43973
Federal District/Bankruptcy/Special,1997,11205
State Supreme/Appellate,1997,62401
State Trial/Other,1997,4279
U.S. Supreme Court/Federal Appeals,1997,38631
Federal District/Bankruptcy/Special,1998,10752
State Supreme/Appellate,1998,65011
State Trial/Other,1998,4361
U.S. Supreme Court/Federal Appeals,1998,34415
Federal District/Bankruptcy/Special,1999,10672
State Supreme/Appellate,1999,67351
State Trial/Other,1999,4404
U.S. Supreme Court/Federal Appeals,1999,30437
Federal District/Bankruptcy/Special,2000,9850
State Supreme/Appellate,2000,68408
State Trial/Other,2000,4689
U.S. Supreme Court/Federal Appeals,2000,27526
Federal District/Bankruptcy/Special,2001,10954
State Supreme/Appellate,2001,69640
State Trial/Other,2001,4212
U.S. Supreme Court/Federal Appeals,2001,36691
Federal District/Bankruptcy/Special,2002,10925
State Supreme/Appellate,2002,71865
State Trial/Other,2002,4256
U.S. Supreme Court/Federal Appeals,2002,44827
Federal District/Bankruptcy/Special,2003,10882
State Supreme/Appellate,2003,71851
State Trial/Other,2003,4231
U.S. Supreme Court/Federal Appeals,2003,49494
Federal District/Bankruptcy/Special,2004,10220
State Supreme/Appellate,2004,75062
State Trial/Other,2004,4425
U.S. Supreme Court/Federal Appeals,2004,44197
Federal District/Bankruptcy/Special,2005,11108
State Supreme/Appellate,2005,80127
State Trial/Other,2005,4042
U.S. Supreme Court/Federal Appeals,2005,44214
Federal District/Bankruptcy/Special,2006,11154
State Supreme/Appellate,2006,85052
State Trial/Other,2006,3629
U.S. Supreme Court/Federal Appeals,2006,37167
Federal District/Bankruptcy/Special,2007,11543
State Supreme/Appellate,2007,91335
State Trial/Other,2007,3697
U.S. Supreme Court/Federal Appeals,2007,32973
Federal District/Bankruptcy/Special,2008,11916
State Supreme/Appellate,2008,109787
State Trial/Other,2008,3595
U.S. Supreme Court/Federal Appeals,2008,32515
Federal District/Bankruptcy/Special,2009,14541
State Supreme/Appellate,2009,106608
State Trial/Other,2009,3692
U.S. Supreme Court/Federal Appeals,2009,45199
Federal District/Bankruptcy/Special,2010,13429
State Supreme/Appellate,2010,99704
State Trial/Other,2010,4220
U.S. Supreme Court/Federal Appeals,2010,44203
Federal District/Bankruptcy/Special,2011,13327
State Supreme/Appellate,2011,90030
State Trial/Other,2011,4638
U.S. Supreme Court/Federal Appeals,2011,45599
Federal District/Bankruptcy/Special,2012,11858
State Supreme/Appellate,2012,85585
State Trial/Other,2012,2869
U.S. Supreme Court/Federal Appeals,2012,37219
Federal District/Bankruptcy/Special,2013,11891
State Supreme/Appellate,2013,99296
State Trial/Other,2013,2661
U.S. Supreme Court/Federal Appeals,2013,35486
Federal District/Bankruptcy/Special,2014,14886
State Supreme/Appellate,2014,113863
State Trial/Other,2014,3467
U.S. Supreme Court/Federal Appeals,2014,34285
Federal District/Bankruptcy/Special,2015,14670
State Supreme/Appellate,2015,146957
State Trial/Other,2015,3080
U.S. Supreme Court/Federal Appeals,2015,31149
Federal District/Bankruptcy/Special,2016,14274
State Supreme/Appellate,2016,121349
State Trial/Other,2016,3319
U.S. Supreme Court/Federal Appeals,2016,31106
Federal District/Bankruptcy/Special,2017,12878
State Supreme/Appellate,2017,138788
State Trial/Other,2017,4120
U.S. Supreme Court/Federal Appeals,2017,30450
Federal District/Bankruptcy/Special,2018,18220
State Supreme/Appellate,2018,132452
State Trial/Other,2018,3346
U.S. Supreme Court/Federal Appeals,2018,25944
Federal District/Bankruptcy/Special,2019,60250
State Supreme/Appellate,2019,118769
State Trial/Other,2019,2138
U.S. Supreme Court/Federal Appeals,2019,27961
Federal District/Bankruptcy/Special,2020,115896
State Supreme/Appellate,2020,79654
State Trial/Other,2020,1387
U.S. Supreme Court/Federal Appeals,2020,23252
