citing_opinion_id,outdegree
2555137,2982
9785115,2937
4050204,1167
4072315,1015
4065704,997
4041501,956
4059716,948
4068549,826
4078114,794
8481423,778
4065280,692
4040130,685
3998207,680
4924950,680
4040778,659
10015785,659
4051915,651
4076297,649
4074428,644
1386258,639
