table_name,row_count
people_db_education,12777
people_db_person,16191
people_db_person_race,6542
people_db_politicalaffiliation,8486
people_db_position,51291
people_db_race,8
people_db_school,6011
search_citation,18116826
search_court,3360
search_docket,71243855
search_opinion,10745929
search_opinioncluster,10021372
search_opinioncluster_non_participating_judges,0
search_opinioncluster_panel,834486
search_opinion_joined_by,1028
search_opinionscited,76957839
